Nombre,train_loss,valid_loss,test_loss,train_acc [%],valid_acc [%],test_acc [%],lr,n_epoch,shuffle,MINI_BATCH,detencion,final_epoch,time_elapsed [s]
Modelo1,0.10081675319987185,0.15458562783896923,0.13718975118050972,97.647,94.0,96.667,0.001,1000,False,20,No,1000,36.86691665649414
Modelo2,0.024282643117674335,0.13659155866624767,0.20899276624986501,99.398,95.181,97.115,0.001,1000,False,1,Sí,122,54.13984656333923
Modelo3,0.0317633071613005,0.11550213078347345,0.17184224907462273,99.412,95.556,96.364,0.001,1000,False,10,No,1000,66.29007601737976
Modelo4,0.20373868303639547,0.2080710157752037,0.16651135434707007,92.536,92.97,94.667,0.001,1000,False,50,No,1000,20.294020891189575
Modelo5,0.7854486703872681,0.9042923450469971,0.8116813898086548,62.952,56.627,60.577,0.001,1000,False,332,No,1000,9.506596088409424
Modelo6,4.555214629453771,4.557345581054688,4.55775245030721,0.0,0.0,0.0,1e-06,1000,False,20,No,1000,33.77638483047485
Modelo7,0.5864430455600514,0.6979617953300477,0.6364904244740804,62.451,47.0,55.833,0.0001,1000,False,20,No,1000,34.536733627319336
Modelo8,0.027982277932631618,0.11970364251174033,0.18796502686260888,99.706,96.0,96.667,0.01,1000,False,20,Sí,221,7.7027976512908936
Modelo9,0.015654962965259877,0.1175887059303932,0.13067399725938836,99.412,96.0,97.5,0.5,1000,False,20,Sí,19,0.823756217956543
Modelo10,1.056775704902761,1.2501089811325072,1.0277548730373383,62.647,52.667,62.5,0.001,1000,True,20,Sí,62,2.1577305793762207
Modelo11,0.25600267596104564,0.25749810934066775,0.2157403826713562,90.784,91.0,92.5,0.001,1000,True,20,Sí,374,12.836782217025757
Modelo12,0.09061224670971141,0.19857109291478992,0.16088560844461122,97.941,88.333,96.667,0.001,1000,True,20,No,1000,32.87213158607483
